client_id,subscription_type,start_date,end_date,renewed
1131383004,Yearly,11-11-2020,11-11-2021,FALSE
4309371709,Monthly,24-05-2021,23-06-2021,TRUE
3183675157,Yearly,25-12-2021,25-12-2022,TRUE
5371694837,Monthly,14-03-2020,13-04-2020,TRUE
5157113076,Monthly,07-11-2019,07-12-2019,FALSE
7896208406,Yearly,24-02-2022,24-02-2023,TRUE
4687291312,Yearly,14-06-2019,13-06-2020,TRUE
7744303708,Yearly,11-10-2022,11-10-2023,TRUE
6038028440,Yearly,03-12-2018,03-12-2019,TRUE
6955217420,Monthly,07-07-2019,06-08-2019,TRUE
7513745319,Yearly,17-09-2020,17-09-2021,FALSE
6209923307,Monthly,05-07-2021,04-08-2021,TRUE
2083869816,Monthly,16-05-2019,15-06-2019,FALSE
7207890733,Monthly,19-09-2020,19-10-2020,FALSE
4280387012,Yearly,25-11-2022,25-11-2023,TRUE
5980553707,Yearly,30-08-2021,30-08-2022,TRUE
3146624321,Monthly,09-04-2022,09-05-2022,FALSE
4361672518,Monthly,24-01-2019,23-02-2019,FALSE
2096479553,Yearly,25-01-2020,24-01-2021,FALSE
2282502805,Yearly,04-06-2021,04-06-2022,FALSE
9166568761,Monthly,14-08-2020,13-09-2020,FALSE
6597925149,Yearly,29-12-2019,28-12-2020,FALSE
6751372012,Monthly,29-05-2018,28-06-2018,TRUE
5217987067,Monthly,19-07-2019,18-08-2019,TRUE
9085185732,Yearly,18-05-2018,18-05-2019,FALSE
9752784850,Yearly,15-09-2021,15-09-2022,FALSE
5536015034,Monthly,15-11-2019,15-12-2019,TRUE
8155233099,Monthly,03-06-2020,03-07-2020,TRUE
4194777577,Monthly,18-12-2021,17-01-2022,TRUE
9699223737,Yearly,03-04-2018,03-04-2019,TRUE
3785313879,Monthly,06-06-2022,06-07-2022,FALSE
4475229416,Yearly,01-05-2019,30-04-2020,FALSE
6983985081,Monthly,15-11-2021,15-12-2021,FALSE
7462725203,Monthly,21-05-2018,20-06-2018,TRUE
2486393352,Yearly,02-12-2021,02-12-2022,FALSE
5443254615,Yearly,25-06-2020,25-06-2021,TRUE
5396477027,Monthly,13-02-2021,15-03-2021,FALSE
3411013676,Yearly,20-12-2022,20-12-2023,FALSE
2490056820,Monthly,04-04-2020,04-05-2020,TRUE
4760390973,Yearly,06-01-2022,06-01-2023,TRUE
5366653014,Monthly,13-11-2020,13-12-2020,FALSE
8988409533,Yearly,15-05-2020,15-05-2021,TRUE
5762095219,Monthly,02-06-2021,02-07-2021,TRUE
7776577102,Monthly,17-12-2020,16-01-2021,TRUE
6366816003,Monthly,17-02-2022,19-03-2022,TRUE
3325348894,Monthly,09-07-2019,08-08-2019,TRUE
5319487809,Monthly,02-03-2019,01-04-2019,FALSE
5387264885,Monthly,06-03-2022,05-04-2022,TRUE
6296057401,Yearly,21-07-2018,21-07-2019,FALSE
2609337231,Monthly,04-11-2020,04-12-2020,TRUE
4387541014,Monthly,08-11-2018,08-12-2018,FALSE
5421990790,Yearly,10-07-2018,10-07-2019,FALSE
1629048404,Yearly,23-02-2021,23-02-2022,FALSE
3758633299,Monthly,24-04-2021,24-05-2021,TRUE
1731644238,Monthly,26-07-2021,25-08-2021,FALSE
5983139564,Yearly,29-03-2020,29-03-2021,TRUE
6102589964,Monthly,30-12-2019,29-01-2020,FALSE
9031632460,Yearly,06-07-2019,05-07-2020,TRUE
5059906722,Yearly,14-12-2018,14-12-2019,FALSE
2623363792,Yearly,28-06-2021,28-06-2022,FALSE
3185596104,Monthly,14-11-2022,14-12-2022,TRUE
7225516707,Yearly,19-01-2021,19-01-2022,TRUE
1077708772,Yearly,06-07-2019,05-07-2020,FALSE
8351222782,Monthly,14-02-2022,16-03-2022,FALSE
6774252233,Monthly,12-12-2018,11-01-2019,TRUE
3683504527,Monthly,12-04-2018,12-05-2018,TRUE
8207710174,Monthly,19-12-2018,18-01-2019,TRUE
8719792472,Yearly,10-02-2018,10-02-2019,TRUE
8093537819,Monthly,14-09-2019,14-10-2019,FALSE
4343385571,Yearly,28-11-2018,28-11-2019,TRUE
9038553168,Yearly,24-05-2019,23-05-2020,FALSE
1089413096,Monthly,21-04-2019,21-05-2019,TRUE
9329180414,Monthly,03-06-2021,03-07-2021,TRUE
3034831019,Monthly,28-07-2022,27-08-2022,FALSE
2315920532,Monthly,01-04-2019,01-05-2019,TRUE
7501599785,Monthly,04-03-2019,03-04-2019,FALSE
9626357024,Monthly,25-09-2022,25-10-2022,TRUE
3510240337,Yearly,07-12-2020,07-12-2021,TRUE
6827368515,Yearly,03-06-2018,03-06-2019,FALSE
6677954339,Monthly,01-01-2022,31-01-2022,FALSE
3878940490,Monthly,23-05-2018,22-06-2018,FALSE
8884551090,Yearly,02-09-2022,02-09-2023,TRUE
5698091148,Monthly,04-08-2020,03-09-2020,TRUE
4698004907,Monthly,11-09-2021,11-10-2021,FALSE
3891000577,Yearly,16-08-2020,16-08-2021,FALSE
7465144773,Monthly,07-09-2021,07-10-2021,TRUE
2095513148,Monthly,03-11-2021,03-12-2021,FALSE
1298566280,Yearly,01-09-2019,31-08-2020,TRUE
7925430606,Yearly,29-08-2022,29-08-2023,FALSE
8004867726,Monthly,16-06-2019,16-07-2019,TRUE
6292156167,Yearly,16-09-2019,15-09-2020,TRUE
9159056053,Yearly,28-05-2022,28-05-2023,FALSE
6128700542,Yearly,11-10-2019,10-10-2020,FALSE
9842414729,Monthly,11-11-2022,11-12-2022,TRUE
5481743788,Yearly,03-04-2020,03-04-2021,FALSE
4519356806,Monthly,04-03-2018,03-04-2018,TRUE
9714663815,Monthly,11-11-2020,11-12-2020,TRUE
9598980006,Monthly,16-06-2019,16-07-2019,TRUE
3157098196,Monthly,11-11-2021,11-12-2021,TRUE
8540187780,Monthly,16-02-2021,18-03-2021,TRUE
